"region","nom"
"Grand Casablanca","Aïn Harrouda"
"Grand Casablanca","Ben Yakhlef"
"Grand Casablanca","Bouskoura"
"Grand Casablanca","Casablanca"
"Grand Casablanca","Médiouna"
"Grand Casablanca","Mohammédia"
"Grand Casablanca","Tit Mellil"
"Chaouia-Ouardigha","Ben Yakhlef"
"Chaouia-Ouardigha","Bejaâd"
"Chaouia-Ouardigha","Ben Ahmed"
"Chaouia-Ouardigha","Benslimane"
"Chaouia-Ouardigha","Berrechid"
"Chaouia-Ouardigha","Boujniba"
"Chaouia-Ouardigha","Boulanouare"
"Chaouia-Ouardigha","Bouznika"
"Chaouia-Ouardigha","Deroua"
"Chaouia-Ouardigha","El Borouj"
"Chaouia-Ouardigha","El Gara"
"Chaouia-Ouardigha","Guisser"
"Chaouia-Ouardigha","Hattane"
"Chaouia-Ouardigha","Khouribga"
"Chaouia-Ouardigha","Loulad"
"Chaouia-Ouardigha","Oued Zem"
"Chaouia-Ouardigha","Oulad Abbou"
"Chaouia-Ouardigha","Oulad H'Riz Sahel"
"Chaouia-Ouardigha","Oulad M'rah"
"Chaouia-Ouardigha","Oulad Saïd"
"Chaouia-Ouardigha","Oulad Sidi Ben Daoud"
"Chaouia-Ouardigha","Ras El Aïn"
"Chaouia-Ouardigha","Settat"
"Chaouia-Ouardigha","Sidi Rahhal Chataï"
"Chaouia-Ouardigha","Soualem"
"Doukkala-Abda","Azemmour"
"Doukkala-Abda","Bir Jdid"
"Doukkala-Abda","Bouguedra"
"Doukkala-Abda","Echemmaia"
"Doukkala-Abda","El Jadida"
"Doukkala-Abda","Hrara"
"Doukkala-Abda","Ighoud"
"Doukkala-Abda","Jamâat Shaim"
"Doukkala-Abda","Jorf Lasfar"
"Doukkala-Abda","Khemis Zemamra"
"Doukkala-Abda","Laaounate"
"Doukkala-Abda","Moulay Abdallah"
"Doukkala-Abda","Oualidia"
"Doukkala-Abda","Oulad Amrane"
"Doukkala-Abda","Oulad Frej"
"Doukkala-Abda","Oulad Ghadbane"
"Doukkala-Abda","Safi"
"Doukkala-Abda","Sebt El Maârif"
"Doukkala-Abda","Sebt Gzoula"
"Doukkala-Abda","Sidi Ahmed"
"Doukkala-Abda","Sidi Ali Ban Hamdouche"
"Doukkala-Abda","Sidi Bennour"
"Doukkala-Abda","Sidi Bouzid"
"Doukkala-Abda","Sidi Smaïl"
"Doukkala-Abda","Youssoufia"
"Fès-Boulemane","Fès"
"Fès-Boulemane","Aïn Cheggag"
"Fès-Boulemane","Bhalil"
"Fès-Boulemane","Boulemane"
"Fès-Boulemane","El Menzel"
"Fès-Boulemane","Guigou"
"Fès-Boulemane","Imouzzer Kandar"
"Fès-Boulemane","Imouzzer Marmoucha"
"Fès-Boulemane","Missour"
"Fès-Boulemane","Moulay Yaâcoub"
"Fès-Boulemane","Ouled Tayeb"
"Fès-Boulemane","Outat El Haj"
"Fès-Boulemane","Ribate El Kheir"
"Fès-Boulemane","Séfrou"
"Fès-Boulemane","Skhinate"
"Fès-Boulemane","Tafajight"
"Gharb-Chrarda-Beni Hssen","Arbaoua"
"Gharb-Chrarda-Beni Hssen","Aïn Dorij"
"Gharb-Chrarda-Beni Hssen","Dar Gueddari"
"Gharb-Chrarda-Beni Hssen","Had Kourt"
"Gharb-Chrarda-Beni Hssen","Jorf El Melha"
"Gharb-Chrarda-Beni Hssen","Kénitra"
"Gharb-Chrarda-Beni Hssen","Khenichet"
"Gharb-Chrarda-Beni Hssen","Lalla Mimouna"
"Gharb-Chrarda-Beni Hssen","Mechra Bel Ksiri"
"Gharb-Chrarda-Beni Hssen","Mehdia"
"Gharb-Chrarda-Beni Hssen","Moulay Bousselham"
"Gharb-Chrarda-Beni Hssen","Sidi Allal Tazi"
"Gharb-Chrarda-Beni Hssen","Sidi Kacem"
"Gharb-Chrarda-Beni Hssen","Sidi Slimane"
"Gharb-Chrarda-Beni Hssen","Sidi Taibi"
"Gharb-Chrarda-Beni Hssen","Sidi Yahya El Gharb"
"Gharb-Chrarda-Beni Hssen","Souk El Arbaa"
"Guelmim-Es Semara","Akka"
"Guelmim-Es Semara","Assa"
"Guelmim-Es Semara","Bouizakarne"
"Guelmim-Es Semara","El Ouatia"
"Guelmim-Es Semara","Es-Semara"
"Guelmim-Es Semara","Fam El Hisn"
"Guelmim-Es Semara","Foum Zguid"
"Guelmim-Es Semara","Guelmim"
"Guelmim-Es Semara","Taghjijt"
"Guelmim-Es Semara","Tan-Tan"
"Guelmim-Es Semara","Tata"
"Guelmim-Es Semara","Zag"
"Marrakech-Tensift-Al Haouz","Marrakech"
"Marrakech-Tensift-Al Haouz","Ait Daoud"
"Marrakech-Tensift-Al Haouz","Amizmiz"
"Marrakech-Tensift-Al Haouz","Assahrij"
"Marrakech-Tensift-Al Haouz","Aït Ourir"
"Marrakech-Tensift-Al Haouz","Ben Guerir"
"Marrakech-Tensift-Al Haouz","Chichaoua"
"Marrakech-Tensift-Al Haouz","El Hanchane"
"Marrakech-Tensift-Al Haouz","El Kelaâ des Sraghna"
"Marrakech-Tensift-Al Haouz","Essaouira"
"Marrakech-Tensift-Al Haouz","Fraïta"
"Marrakech-Tensift-Al Haouz","Ghmate"
"Marrakech-Tensift-Al Haouz","Ighounane"
"Marrakech-Tensift-Al Haouz","Imintanoute"
"Marrakech-Tensift-Al Haouz","Kattara"
"Marrakech-Tensift-Al Haouz","Lalla Takerkoust"
"Marrakech-Tensift-Al Haouz","Loudaya"
"Marrakech-Tensift-Al Haouz","Lâattaouia"
"Marrakech-Tensift-Al Haouz","Moulay Brahim"
"Marrakech-Tensift-Al Haouz","Mzouda"
"Marrakech-Tensift-Al Haouz","Ounagha"
"Marrakech-Tensift-Al Haouz","Sid L'Mokhtar"
"Marrakech-Tensift-Al Haouz","Sid Zouin"
"Marrakech-Tensift-Al Haouz","Sidi Abdallah Ghiat"
"Marrakech-Tensift-Al Haouz","Sidi Bou Othmane"
"Marrakech-Tensift-Al Haouz","Sidi Rahhal"
"Marrakech-Tensift-Al Haouz","Skhour Rehamna"
"Marrakech-Tensift-Al Haouz","Smimou"
"Marrakech-Tensift-Al Haouz","Tafetachte"
"Marrakech-Tensift-Al Haouz","Tahannaout"
"Marrakech-Tensift-Al Haouz","Talmest"
"Marrakech-Tensift-Al Haouz","Tamallalt"
"Marrakech-Tensift-Al Haouz","Tamanar"
"Marrakech-Tensift-Al Haouz","Tamansourt"
"Marrakech-Tensift-Al Haouz","Tameslouht"
"Marrakech-Tensift-Al Haouz","Tanalt"
"Marrakech-Tensift-Al Haouz","Zeubelemok"
"Meknès-Tafilalet","Meknès‎"
"Meknès-Tafilalet","Khénifra"
"Meknès-Tafilalet","Agourai"
"Meknès-Tafilalet","Ain Taoujdate"
"Meknès-Tafilalet","MyAliCherif"
"Meknès-Tafilalet","Rissani"
"Meknès-Tafilalet","Amalou Ighriben"
"Meknès-Tafilalet","Aoufous"
"Meknès-Tafilalet","Arfoud"
"Meknès-Tafilalet","Azrou"
"Meknès-Tafilalet","Aïn Jemaa"
"Meknès-Tafilalet","Aïn Karma"
"Meknès-Tafilalet","Aïn Leuh"
"Meknès-Tafilalet","Aït Boubidmane"
"Meknès-Tafilalet","Aït Ishaq"
"Meknès-Tafilalet","Boudnib"
"Meknès-Tafilalet","Boufakrane"
"Meknès-Tafilalet","Boumia"
"Meknès-Tafilalet","El Hajeb"
"Meknès-Tafilalet","Elkbab"
"Meknès-Tafilalet","Er-Rich"
"Meknès-Tafilalet","Errachidia"
"Meknès-Tafilalet","Gardmit"
"Meknès-Tafilalet","Goulmima"
"Meknès-Tafilalet","Gourrama"
"Meknès-Tafilalet","Had Bouhssoussen"
"Meknès-Tafilalet","Haj Kaddour"
"Meknès-Tafilalet","Ifrane"
"Meknès-Tafilalet","Itzer"
"Meknès-Tafilalet","Jorf"
"Meknès-Tafilalet","Kehf Nsour"
"Meknès-Tafilalet","Kerrouchen"
"Meknès-Tafilalet","M'haya"
"Meknès-Tafilalet","M'rirt"
"Meknès-Tafilalet","Midelt"
"Meknès-Tafilalet","Moulay Ali Cherif"
"Meknès-Tafilalet","Moulay Bouazza"
"Meknès-Tafilalet","Moulay Idriss Zerhoun"
"Meknès-Tafilalet","Moussaoua"
"Meknès-Tafilalet","N'Zalat Bni Amar"
"Meknès-Tafilalet","Ouaoumana"
"Meknès-Tafilalet","Oued Ifrane"
"Meknès-Tafilalet","Sabaa Aiyoun"
"Meknès-Tafilalet","Sebt Jahjouh"
"Meknès-Tafilalet","Sidi Addi"
"Meknès-Tafilalet","Tichoute"
"Meknès-Tafilalet","Tighassaline"
"Meknès-Tafilalet","Tighza"
"Meknès-Tafilalet","Timahdite"
"Meknès-Tafilalet","Tinejdad"
"Meknès-Tafilalet","Tizguite"
"Meknès-Tafilalet","Toulal"
"Meknès-Tafilalet","Tounfite"
"Meknès-Tafilalet","Zaouia d'Ifrane"
"Meknès-Tafilalet","Zaïda"
"l''Oriental","Ahfir"
"l''Oriental","Aklim"
"l''Oriental","Al Aroui"
"l''Oriental","Aïn Bni Mathar"
"l''Oriental","Aïn Erreggada"
"l''Oriental","Ben Taïeb"
"l''Oriental","Berkane"
"l''Oriental","Bni Ansar"
"l''Oriental","Bni Chiker"
"l''Oriental","Bni Drar"
"l''Oriental","Bni Tadjite"
"l''Oriental","Bouanane"
"l''Oriental","Bouarfa"
"l''Oriental","Bouhdila"
"l''Oriental","Dar El Kebdani"
"l''Oriental","Debdou"
"l''Oriental","Douar Kannine"
"l''Oriental","Driouch"
"l''Oriental","El Aïoun Sidi Mellouk"
"l''Oriental","Farkhana"
"l''Oriental","Figuig"
"l''Oriental","Ihddaden"
"l''Oriental","Jaâdar"
"l''Oriental","Jerada"
"l''Oriental","Kariat Arekmane"
"l''Oriental","Kassita"
"l''Oriental","Kerouna"
"l''Oriental","Laâtamna"
"l''Oriental","Madagh"
"l''Oriental","Midar"
"l''Oriental","Nador"
"l''Oriental","Naima"
"l''Oriental","Oued Heimer"
"l''Oriental","Oujda"
"l''Oriental","Ras El Ma"
"l''Oriental","Saïdia"
"l''Oriental","Selouane"
"l''Oriental","Sidi Boubker"
"l''Oriental","Sidi Slimane Echcharaa"
"l''Oriental","Talsint"
"l''Oriental","Taourirt"
"l''Oriental","Tendrara"
"l''Oriental","Tiztoutine"
"l''Oriental","Touima"
"l''Oriental","Touissit"
"l''Oriental","Zaïo"
"l''Oriental","Zeghanghane"
"Rabat-Salé-Zemmour-Zaër","Rabat"
"Rabat-Salé-Zemmour-Zaër","Salé"
"Rabat-Salé-Zemmour-Zaër","Ain El Aouda"
"Rabat-Salé-Zemmour-Zaër","Harhoura"
"Rabat-Salé-Zemmour-Zaër","Khémisset"
"Rabat-Salé-Zemmour-Zaër","Oulmès"
"Rabat-Salé-Zemmour-Zaër","Rommani"
"Rabat-Salé-Zemmour-Zaër","Sidi Allal El Bahraoui"
"Rabat-Salé-Zemmour-Zaër","Sidi Bouknadel"
"Rabat-Salé-Zemmour-Zaër","Skhirat"
"Rabat-Salé-Zemmour-Zaër","Tamesna"
"Rabat-Salé-Zemmour-Zaër","Témara"
"Rabat-Salé-Zemmour-Zaër","Tiddas"
"Rabat-Salé-Zemmour-Zaër","Tiflet"
"Rabat-Salé-Zemmour-Zaër","Touarga"
"Souss-Massa-Draâ","Agadir"
"Souss-Massa-Draâ","Agdz"
"Souss-Massa-Draâ","Agni Izimmer"
"Souss-Massa-Draâ","Aït Melloul"
"Souss-Massa-Draâ","Alnif"
"Souss-Massa-Draâ","Anzi"
"Souss-Massa-Draâ","Aoulouz"
"Souss-Massa-Draâ","Aourir"
"Souss-Massa-Draâ","Arazane"
"Souss-Massa-Draâ","Aït Baha"
"Souss-Massa-Draâ","Aït Iaâza"
"Souss-Massa-Draâ","Aït Yalla"
"Souss-Massa-Draâ","Ben Sergao"
"Souss-Massa-Draâ","Biougra"
"Souss-Massa-Draâ","Boumalne-Dadès"
"Souss-Massa-Draâ","Dcheira El Jihadia"
"Souss-Massa-Draâ","Drargua"
"Souss-Massa-Draâ","El Guerdane"
"Souss-Massa-Draâ","Harte Lyamine"
"Souss-Massa-Draâ","Ida Ougnidif"
"Souss-Massa-Draâ","Ifri"
"Souss-Massa-Draâ","Igdamen"
"Souss-Massa-Draâ","Ighil n'Oumgoun"
"Souss-Massa-Draâ","Imassine"
"Souss-Massa-Draâ","Inezgane"
"Souss-Massa-Draâ","Irherm"
"Souss-Massa-Draâ","Kelaat-M'Gouna"
"Souss-Massa-Draâ","Lakhsas"
"Souss-Massa-Draâ","Lakhsass"
"Souss-Massa-Draâ","Lqliâa"
"Souss-Massa-Draâ","M'semrir"
"Souss-Massa-Draâ","Massa (Maroc)"
"Souss-Massa-Draâ","Megousse"
"Souss-Massa-Draâ","Ouarzazate"
"Souss-Massa-Draâ","Oulad Berhil"
"Souss-Massa-Draâ","Oulad Teïma"
"Souss-Massa-Draâ","Sarghine"
"Souss-Massa-Draâ","Sidi Ifni"
"Souss-Massa-Draâ","Skoura"
"Souss-Massa-Draâ","Tabounte"
"Souss-Massa-Draâ","Tafraout"
"Souss-Massa-Draâ","Taghzout"
"Souss-Massa-Draâ","Tagzen"
"Souss-Massa-Draâ","Taliouine"
"Souss-Massa-Draâ","Tamegroute"
"Souss-Massa-Draâ","Tamraght"
"Souss-Massa-Draâ","Tanoumrite Nkob Zagora"
"Souss-Massa-Draâ","Taourirt ait zaghar"
"Souss-Massa-Draâ","Taroudant"
"Souss-Massa-Draâ","Temsia"
"Souss-Massa-Draâ","Tifnit"
"Souss-Massa-Draâ","Tisgdal"
"Souss-Massa-Draâ","Tiznit"
"Souss-Massa-Draâ","Toundoute"
"Souss-Massa-Draâ","Zagora"
"Tadla-Azilal","Afourar"
"Tadla-Azilal","Aghbala"
"Tadla-Azilal","Azilal"
"Tadla-Azilal","Aït Majden"
"Tadla-Azilal","Beni Ayat"
"Tadla-Azilal","Béni Mellal"
"Tadla-Azilal","Bin elouidane"
"Tadla-Azilal","Bradia"
"Tadla-Azilal","Bzou"
"Tadla-Azilal","Dar Oulad Zidouh"
"Tadla-Azilal","Demnate"
"Tadla-Azilal","Dra'a"
"Tadla-Azilal","El Ksiba"
"Tadla-Azilal","Foum Jamaa"
"Tadla-Azilal","Fquih Ben Salah"
"Tadla-Azilal","Kasba Tadla"
"Tadla-Azilal","Ouaouizeght"
"Tadla-Azilal","Oulad Ayad"
"Tadla-Azilal","Oulad M'Barek"
"Tadla-Azilal","Oulad Yaich"
"Tadla-Azilal","Sidi Jaber"
"Tadla-Azilal","Souk Sebt Oulad Nemma"
"Tadla-Azilal","Zaouïat Cheikh"
"Tanger-Tétouan","Tanger‎"
"Tanger-Tétouan","Tétouan‎"
"Tanger-Tétouan","Akchour"
"Tanger-Tétouan","Assilah"
"Tanger-Tétouan","Bab Berred"
"Tanger-Tétouan","Bab Taza"
"Tanger-Tétouan","Brikcha"
"Tanger-Tétouan","Chefchaouen"
"Tanger-Tétouan","Dar Bni Karrich"
"Tanger-Tétouan","Dar Chaoui"
"Tanger-Tétouan","Fnideq"
"Tanger-Tétouan","Gueznaia"
"Tanger-Tétouan","Jebha"
"Tanger-Tétouan","Karia"
"Tanger-Tétouan","Khémis Sahel"
"Tanger-Tétouan","Ksar El Kébir"
"Tanger-Tétouan","Larache"
"Tanger-Tétouan","M'diq"
"Tanger-Tétouan","Martil"
"Tanger-Tétouan","Moqrisset"
"Tanger-Tétouan","Oued Laou"
"Tanger-Tétouan","Oued Rmel"
"Tanger-Tétouan","Ouezzane"
"Tanger-Tétouan","Point Cires"
"Tanger-Tétouan","Sidi Lyamani"
"Tanger-Tétouan","Sidi Mohamed ben Abdallah el-Raisuni"
"Tanger-Tétouan","Zinat"
"Taza-Al Hoceïma-Taounate","Ajdir‎"
"Taza-Al Hoceïma-Taounate","Aknoul‎"
"Taza-Al Hoceïma-Taounate","Al Hoceïma‎"
"Taza-Al Hoceïma-Taounate","Aït Hichem‎"
"Taza-Al Hoceïma-Taounate","Bni Bouayach‎"
"Taza-Al Hoceïma-Taounate","Bni Hadifa‎"
"Taza-Al Hoceïma-Taounate","Ghafsai‎"
"Taza-Al Hoceïma-Taounate","Guercif‎"
"Taza-Al Hoceïma-Taounate","Imzouren‎"
"Taza-Al Hoceïma-Taounate","Inahnahen‎"
"Taza-Al Hoceïma-Taounate","Issaguen (Ketama)‎"
"Taza-Al Hoceïma-Taounate","Karia (El Jadida)‎"
"Taza-Al Hoceïma-Taounate","Karia Ba Mohamed‎"
"Taza-Al Hoceïma-Taounate","Oued Amlil‎"
"Taza-Al Hoceïma-Taounate","Oulad Zbair‎"
"Taza-Al Hoceïma-Taounate","Tahla‎"
"Taza-Al Hoceïma-Taounate","Tala Tazegwaght‎"
"Taza-Al Hoceïma-Taounate","Tamassint‎"
"Taza-Al Hoceïma-Taounate","Taounate‎"
"Taza-Al Hoceïma-Taounate","Targuist‎"
"Taza-Al Hoceïma-Taounate","Taza‎"
"Taza-Al Hoceïma-Taounate","Taïnaste‎"
"Taza-Al Hoceïma-Taounate","Thar Es-Souk‎"
"Taza-Al Hoceïma-Taounate","Tissa‎"
"Taza-Al Hoceïma-Taounate","Tizi Ouasli‎"
"Laayoune-Boujdour-Sakia-Hamra","Laayoune‎"
"Laayoune-Boujdour-Sakia-Hamra","El Marsa‎"
"Laayoune-Boujdour-Sakia-Hamra","Tarfaya‎"
"Laayoune-Boujdour-Sakia-Hamra","Boujdour‎"
"Oued-Eddahab-Lagouira","Awsard"
"Oued-Eddahab-Lagouira","Oued-Eddahab "
"Tanger-Tétouan","Stehat"
"Tadla-Azilal","Aït Attab"
